   39  123  239  323  440  523  640  724
   77  132  277  333  477  533  676  733
   24  117  224  317  424  517  625  717
   10  185  210  384  411  584  611  783
   13  195  214  394  395  414  594  615  794
   53  112  253  312  452  512  652  712
   61  188  261  388  460  588  660  788
   88  131  287  331  332  487  532  686  687  732
   30  111  230  311  430  511  630  711
   68  148  268  349  468  549  668  749
   39  147  239  347  439  547  639  746
   55  131  255  256  331  456  531  656  731
   99  193  299  393  498  593  698  793
   84  134  284  334  484  534  684  733
   88  198  287  397  487  597  687  797
   79  169  279  369  479  569  679  769
   52  147  252  348  452  548  653  748
   56  136  255  336  455  536  537  655  737
   63  190  263  390  463  590  663  790
   96  176  296  375  496  575  695  775
   99  199  298  398  498  598  697  797
   48  174  248  374  448  574  648  774
   57  175  257  375  457  575  656  774
   71  126  271  327  471  527  670  727
   51  175  251  375  451  575  651  775
   20  119  220  319  420  519  620  719
   59  163  259  363  459  563  659  763
   54  145  254  345  454  545  654  745
  683  799
   82  105  282  305  482  506  681  682  706
   36  151  237  351  437  551  637  751
   35  171  235  370  436  570  636  770
   15  162  215  361  415  561  616  761
   62  182  262  382  462  581  662  781
   82  163  281  363  481  563  681  763
   10  137  210  337  410  537  610  737
   77  192  277  392  477  592  677  791
    4  196  204  395  404  595  604  794
   20  139  220  221  339  421  539  621  739
   34  118  234  318  434  518  634  718
   46  149  246  349  350  446  550  647  750
   41  111  241  311  442  511  642  711
   27  159  227  359  427  559  627  628  759
   27  159  227  359  360  428  560  628  760
   45  127  245  327  445  528  645  728
   80  168  279  368  479  568  679  768
   85  194  284  394  484  594  684  794
   58  182  258  382  458  582  658  781
   81  134  281  334  481  535  680  735
   89  133  289  333  489  533  689  733
   57  103  257  303  457  504  657  704
   53  148  253  348  453  548  653  748
   32  136  232  336  432  536  632  736
   86  196  286  396  485  596  685  795
   25  132  225  332  425  532  625  732
   85  131  285  331  484  531  684  732
   52  186  252  386  387  452  587  652  787
   78  187  278  387  478  586  678  786
   21  156  221  356  421  556  621  757
   87  142  287  342  486  542  686  741
   63  146  263  346  463  546  663  747
    3  136  204  336  404  536  604  737
   72  156  272  356  472  556  672  756
   47  143  247  344  448  544  648  744
   60  108  260  308  460  508  660  708
   90  132  290  332  490  532  690  733
